project.id,sample.id,species,temp.treatment,temp.treatment2,exp.date,weight.before,weight.after,wet.weight.g,wet.weight.mg,nanodrop,a260.a280,a260.a230,status
PL052,27.5DL02,DL,27.5C,27.5C,23-Sep-22,1.3087,1.3334,0.0247,24.7,63.4,1.85,1.69,alive
PL053,27.5DL06,DL,27.5C,27.5C,23-Sep-22,1.3189,1.3441,0.0252,25.2,49.3,1.85,1.28,alive
PL054,27.5DL07,DL,27.5C,27.5C,23-Sep-22,1.308,1.446,0.138,138,54.7,1.85,1.88,dead
PL055,27.5DL08,DL,27.5C,27.5C,23-Sep-22,1.2996,1.3777,0.0781,78.1,76.4,1.84,1.93,dead
PL056,27.5DL09,DL,27.5C,27.5C,23-Sep-22,1.3007,1.3374,0.0367,36.7,57.1,1.85,1.78,alive
PL057,27.5DL10,DL,27.5C,27.5C,23-Sep-22,1.3234,1.3514,0.028,28,75.2,1.85,1.71,alive
PL058,27.5DLW01,W,27.5C,27.5CW,23-Sep-22,NA,NA,NA,NA,5.1,2.04,0.5,alive-water
PL059,27.5DLW02,W,27.5C,27.5CW,23-Sep-22,NA,NA,NA,NA,2.2,2.03,0.18,alive-water
PL060,27.5DLW06,W,27.5C,27.5CW,23-Sep-22,NA,NA,NA,NA,2.7,2.21,0.1,alive-water
PL061,27.5DLW07,W,27.5C,27.5CW,23-Sep-22,NA,NA,NA,NA,5.6,2.16,0.47,dead-water
PL062,27.5DLW08,W,27.5C,27.5CW,23-Sep-22,NA,NA,NA,NA,13.9,1.93,0.95,dead-water
PL063,27.5DLW09,W,27.5C,27.5CW,23-Sep-22,NA,NA,NA,NA,6.4,2.07,0.57,alive-water
PL064,27.5DLW10,W,27.5C,27.5CW,23-Sep-22,NA,NA,NA,NA,4.3,2.03,0.35,alive-water
PL065,30.0DL01,DL,30C,30C,29-Sep-22,1.3007,1.3489,0.0482,48.2,35.8,1.89,1.56,alive
PL066,30.0DL02,DL,30C,30C,29-Sep-22,1.3161,1.3564,0.0403,40.3,38.8,1.87,1.46,alive
PL067,30.0DL03,DL,30C,30C,29-Sep-22,1.3234,1.372,0.0486,48.6,15.9,1.88,0.94,alive
PL068,30.0DL04,DL,30C,30C,29-Sep-22,1.3323,1.3609,0.0286,28.6,24.2,1.84,0.71,alive
PL069,30.0DL05,DL,30C,30C,29-Sep-22,1.3422,1.4062,0.064,64,22.8,1.82,0.84,alive
PL070,30.0DL06,DL,30C,30C,29-Sep-22,1.3137,1.3783,0.0646,64.6,36,1.83,1.67,alive
PL071,30.0DL07,DL,30C,30C,29-Sep-22,1.3205,1.354,0.0335,33.5,31.1,1.88,1.38,alive
PL072,30.0DL08,DL,30C,30C,29-Sep-22,1.3128,1.4154,0.1026,102.6,40.8,1.86,1.65,alive
PL073,30.0DL09,DL,30C,30C,29-Sep-22,1.3352,1.3702,0.035,35,26.3,1.85,1.22,alive
PL074,30.0DL10,DL,30C,30C,29-Sep-22,1.3315,1.4034,0.0719,71.9,38,1.82,1.12,alive
PL075,30.0DLW01,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,5.3,2.34,0.5,alive-water
PL076,30.0DLW02,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,5.5,2.04,0.23,alive-water
PL077,30.0DLW03,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,6.2,1.9,0.62,alive-water
PL078,30.0DLW04,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,5.4,1.86,0.43,alive-water
PL079,30.0DLW05,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,3.4,2.19,0.33,alive-water
PL080,30.0DLW06,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,3.7,2.04,0.3,alive-water
PL081,30.0DLW07,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,5,1.95,0.54,alive-water
PL082,30.0DLW08,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,6.9,2.02,0.61,alive-water
PL083,30.0DLW09,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,6.2,1.84,0.35,alive-water
PL084,30.0DLW10,W,30C,30CW,29-Sep-22,NA,NA,NA,NA,5.1,2.02,0.34,alive-water
PL085,mock,mock,mock,mock,NA,NA,NA,NA,NA,,,,NA
PL086,mock,mock,mock,mock,NA,NA,NA,NA,NA,,,,NA
PL087,mock,mock,mock,mock,NA,NA,NA,NA,NA,,,,NA
